age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,incom
0-100,*,203289,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,35, United-States, <=50k
0-100,*,303090,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,174752,Educated,1-12,Married, Craft-repair, Not-in-family,Occident,Male,0,0,40, United-States, <=50k
0-100,*,237379,Educated,1-12,Married, Handlers-cleaners, Husband,Occident,Male,3471,0,40, United-States, <=50k
0-100,*,353824,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,72, United-States, >50k
0-100,*,68985,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,175023,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,37, United-States, <=50k
0-100,*,357612,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,218521,Educated,1-12,Married, Craft-repair, Not-in-family,Occident,Male,0,0,30, United-States, <=50k
0-100,*,120985,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,4386,0,35, United-States, <=50k
0-100,*,129298,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,56920,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,66614,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,326048,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,192323,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,38, United-States, >50k
0-100,*,49707,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,70, United-States, <=50k
0-100,*,42485,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,70, United-States, <=50k
0-100,*,259299,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,3103,0,50, United-States, >50k
0-100,*,197731,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,49, United-States, >50k
0-100,*,197702,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,175325,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,179400,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,2290,0,20, United-States, <=50k
0-100,*,35723,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,50, United-States, >50k
0-100,*,35576,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,192203,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,1485,40, United-States, >50k
0-100,*,170411,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,29054,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,42, United-States, >50k
0-100,*,119099,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,99, United-States, >50k
0-100,*,83411,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,215591,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,1887,40, United-States, >50k
0-100,*,96459,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,125417,Educated,1-12,Married, Machine-op-inspct, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,206682,Educated,1-12,Married, Prof-specialty, Husband,Occident,Male,0,1648,35, United-States, <=50k
0-100,*,102510,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,6418,0,99, United-States, >50k
0-100,*,285335,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,10, United-States, <=50k
0-100,*,188563,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,4386,0,50, United-States, >50k
0-100,*,184710,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,167687,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,1409,0,50, United-States, <=50k
0-100,*,93853,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,37869,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,180477,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,47, United-States, <=50k
0-100,*,391736,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,268700,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,248476,Educated,1-12,Married, Transport-moving, Not-in-family,Occident,Male,0,0,65, United-States, >50k
0-100,*,95530,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,273905,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,115176,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,65, United-States, <=50k
0-100,*,255822,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,60, United-States, <=50k
0-100,*,285335,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,60, United-States, >50k
0-100,*,318106,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,97688,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,5178,0,40, United-States, >50k
0-100,*,135716,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,70, United-States, <=50k
0-100,*,348960,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,50, United-States, >50k
0-100,*,201699,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, >50k
0-100,*,276221,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,381931,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,55, United-States, <=50k
0-100,*,249585,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,30, United-States, <=50k
0-100,*,162758,Educated,1-12,Married, Handlers-cleaners, Husband,Occident,Male,0,0,56, United-States, >50k
0-100,*,34987,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,54, United-States, >50k
0-100,*,54953,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,38, United-States, <=50k
0-100,*,392694,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,50, United-States, >50k
0-100,*,511289,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,48, United-States, >50k
0-100,*,138714,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,174308,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,199240,Educated,1-12,Married, Prof-specialty, Not-in-family,Occident,Male,0,0,20, England, <=50k
0-100,*,60269,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,78383,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,321171,Educated,1-12,Married, Handlers-cleaners, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,98545,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,57758,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,60, United-States, >50k
0-100,*,155963,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,55, United-States, <=50k
0-100,*,119272,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,7298,0,40, United-States, >50k
0-100,*,192230,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,90021,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,30, United-States, <=50k
0-100,*,38795,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,258037,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, Cuba, >50k
0-100,*,198686,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,349066,Educated,1-12,Married, Machine-op-inspct, Own-child,Occident,Male,0,0,40, United-States, <=50k
0-100,*,329752,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,30, United-States, <=50k
0-100,*,95432,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,66360,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,6418,0,35, United-States, >50k
0-100,*,102471,Educated,1-12,Married, Farming-fishing, Not-in-family,Occident,Male,0,0,80, Puerto-Rico, <=50k
0-100,*,117125,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, Portugal, <=50k
0-100,*,123011,Educated,1-12,Married, Adm-clerical, Not-in-family,Occident,Male,0,0,45, United-States, <=50k
0-100,*,183081,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,178472,Educated,1-12,Married, Transport-moving, Not-in-family,Occident,Male,0,0,45, United-States, <=50k
0-100,*,184018,Educated,1-12,Married, Machine-op-inspct, Husband,Occident,Male,0,0,38, United-States, >50k
0-100,*,214541,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,308945,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,181408,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,10, United-States, <=50k
0-100,*,32537,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,277946,Educated,1-12,Married, Craft-repair, Not-in-family,Occident,Male,0,0,40, United-States, <=50k
0-100,*,32016,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,62, United-States, <=50k
0-100,*,73585,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,191385,Educated,1-12,Married, Protective-serv, Not-in-family,Occident,Male,2174,0,40, United-States, <=50k
0-100,*,317253,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,25, United-States, <=50k
0-100,*,175856,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,214242,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,1033222,Educated,1-12,Married, Machine-op-inspct, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,124420,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,4650,0,40, United-States, <=50k
0-100,*,322931,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,1902,40, United-States, >50k
0-100,*,355918,Educated,1-12,Married, Tech-support, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,172046,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,222289,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,383384,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,148492,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,1485,50, United-States, >50k
0-100,*,197332,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,55, United-States, >50k
0-100,*,289731,Educated,1-12,Married, Machine-op-inspct, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,155489,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,65, Poland, <=50k
0-100,*,116539,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,169544,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,5178,0,40, United-States, >50k
0-100,*,170721,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,20, United-States, <=50k
0-100,*,113324,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,70, United-States, >50k
0-100,*,246739,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,45, United-States, >50k
0-100,*,286967,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,105266,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,371373,Educated,1-12,Married, Adm-clerical, Not-in-family,Occident,Male,0,0,40, United-States, <=50k
0-100,*,146477,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,177647,Educated,1-12,Married, Tech-support, Husband,Occident,Male,0,0,40, France, >50k
0-100,*,189762,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,114060,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,217054,Educated,1-12,Married, Farming-fishing, Not-in-family,Occident,Male,0,0,40, United-States, <=50k
0-100,*,108808,Educated,1-12,Married, Craft-repair, Not-in-family,Occident,Male,0,0,50, United-States, <=50k
0-100,*,34218,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,178356,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,160786,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,35, United-States, >50k
0-100,*,122206,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,101771,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,25, United-States, <=50k
0-100,*,127543,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,2414,0,80, United-States, <=50k
0-100,*,186035,Educated,1-12,Married, Tech-support, Husband,Occident,Male,0,0,45, United-States, >50k
0-100,*,114650,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,190387,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,184542,Educated,1-12,Married, Machine-op-inspct, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,206927,Educated,1-12,Married, Prof-specialty, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,177727,Educated,1-12,Married, Sales, Husband,Occident,Male,4064,0,45, United-States, <=50k
0-100,*,207853,Educated,1-12,Married, Tech-support, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,207540,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, ?, <=50k
0-100,*,671292,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,38, United-States, >50k
0-100,*,140863,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,51264,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,192779,Educated,1-12,Married, Adm-clerical, Unmarried,Occident,Male,0,2258,38, United-States, >50k
0-100,*,233327,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,245724,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,50, United-States, <=50k
0-100,*,140474,Educated,1-12,Married, Craft-repair, Own-child,Occident,Male,0,0,35, United-States, <=50k
0-100,*,45487,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,80, United-States, <=50k
0-100,*,442612,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,65, United-States, >50k
0-100,*,96062,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,110663,Educated,1-12,Married, Craft-repair, Not-in-family,Occident,Male,0,0,35, United-States, <=50k
0-100,*,187581,Educated,1-12,Married, Tech-support, Husband,Occident,Male,0,0,48, United-States, >50k
0-100,*,99554,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,118429,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,86646,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,45, United-States, <=50k
0-100,*,142856,Educated,1-12,Married, Prof-specialty, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,67433,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,30908,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,190072,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, Iran, >50k
0-100,*,213140,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,80, United-States, <=50k
0-100,*,175509,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,175674,Educated,1-12,Married, Other-service, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,203836,Educated,1-12,Married, Handlers-cleaners, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,110199,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,114117,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,32, United-States, <=50k
0-100,*,155761,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,8, United-States, <=50k
0-100,*,203849,Educated,1-12,Married, Handlers-cleaners, Husband,Occident,Male,0,0,19, United-States, <=50k
0-100,*,267556,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,64, United-States, <=50k
0-100,*,144594,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,2179,40, United-States, <=50k
0-100,*,172034,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,75, United-States, >50k
0-100,*,35723,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,338320,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, >50k
0-100,*,207841,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,248145,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,50, Cuba, <=50k
0-100,*,237294,Educated,1-12,Married, Sales, Not-in-family,Occident,Male,0,0,45, United-States, >50k
0-100,*,118793,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,204325,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,52, United-States, <=50k
0-100,*,89083,Educated,1-12,Married, Tech-support, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,188694,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,136939,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,179594,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,48, United-States, <=50k
0-100,*,139391,Educated,1-12,Married, Sales, Husband,Occident,Male,0,1902,35, United-States, >50k
0-100,*,249362,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,3411,0,40, United-States, <=50k
0-100,*,330836,Educated,1-12,Married, Protective-serv, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,36327,Educated,1-12,Married, Machine-op-inspct, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,110457,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,40, United-States, <=50k
0-100,*,219420,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,50, United-States, >50k
0-100,*,26781,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,174760,Educated,1-12,Married, Farming-fishing, Unmarried,Occident,Male,0,0,40, United-States, <=50k
0-100,*,204021,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,50, United-States, <=50k
0-100,*,190290,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,234286,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,15024,0,40, United-States, >50k
0-100,*,113000,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,115882,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,20, United-States, <=50k
0-100,*,201689,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,1977,63, ?, >50k
0-100,*,80145,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,182541,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,1672,50, United-States, <=50k
0-100,*,331482,Educated,1-12,Married, Tech-support, Own-child,Occident,Male,0,0,40, United-States, <=50k
0-100,*,267763,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,40, ?, <=50k
0-100,*,50459,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,42, United-States, >50k
0-100,*,314375,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,60, United-States, >50k
0-100,*,118474,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,9386,0,59, ?, >50k
0-100,*,200939,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,72, United-States, <=50k
0-100,*,237624,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,10, United-States, <=50k
0-100,*,42924,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,87510,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,151089,Educated,1-12,Married, Sales, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,42044,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,84, United-States, <=50k
0-100,*,326083,Educated,1-12,Married, Prof-specialty, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,27432,Educated,1-12,Married, Adm-clerical, Husband,Occident,Male,0,0,40, United-States, >50k
0-100,*,183523,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,50, Hungary, <=50k
0-100,*,119411,Educated,1-12,Married, Protective-serv, Unmarried,Occident,Male,0,0,40, Portugal, <=50k
0-100,*,192869,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,0,72, United-States, <=50k
0-100,*,227644,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,121352,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,50, United-States, <=50k
0-100,*,70985,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,4064,0,40, United-States, <=50k
0-100,*,123116,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,0,0,40, United-States, <=50k
0-100,*,301526,Educated,1-12,Married, Other-service, Other-relative,Occident,Male,0,0,40, United-States, <=50k
0-100,*,282579,Educated,1-12,Married, Tech-support, Not-in-family,Occident,Male,0,0,56, United-States, <=50k
0-100,*,113324,Educated,1-12,Married, Exec-managerial, Not-in-family,Occident,Male,0,0,40, United-States, <=50k
0-100,*,146908,Educated,1-12,Married, Craft-repair, Husband,Occident,Male,0,0,40, ?, <=50k
0-100,*,33126,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,80, United-States, <=50k
0-100,*,103759,Educated,1-12,Married, Transport-moving, Husband,Occident,Male,3942,0,40, United-States, <=50k
0-100,*,49572,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,60, United-States, <=50k
0-100,*,189253,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,45, United-States, >50k
0-100,*,36671,Educated,1-12,Married, Farming-fishing, Husband,Occident,Male,0,2352,50, United-States, <=50k
0-100,*,210364,Educated,1-12,Married, Sales, Husband,Occident,Male,15024,0,80, United-States, >50k
0-100,*,249585,Educated,1-12,Married, Exec-managerial, Husband,Occident,Male,0,0,65, United-States, <=50k
